City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
141,Southbridge,US,42.0751,-72.0334,29.93,58,0,3.0,clear sky,2021-11-24 03:02:05
142,Maragogi,BR,-9.0122,-35.2225,78.01,80,18,9.1,few clouds,2021-11-24 03:02:06
143,New Norfolk,AU,-42.7826,147.0587,74.71,51,100,1.99,overcast clouds,2021-11-24 03:02:06
144,Norman Wells,CA,65.282,-126.8329,-14.98,98,99,2.19,overcast clouds,2021-11-24 03:02:06
145,Bengkulu,ID,-3.8004,102.2655,78.73,74,100,1.74,overcast clouds,2021-11-24 03:02:07
146,Eureka,US,40.8021,-124.1637,52.93,74,30,8.99,scattered clouds,2021-11-24 03:01:42
147,Tiksi,RU,71.6872,128.8694,-20.58,98,43,7.2,scattered clouds,2021-11-24 03:02:07
148,Zary,PL,51.6421,15.1373,41.86,95,100,3.0,overcast clouds,2021-11-24 03:01:07
149,Mahebourg,MU,-20.4081,57.7,79.25,73,12,9.91,few clouds,2021-11-24 03:01:06
150,Ukiah,US,39.1502,-123.2078,54.64,74,1,0.0,clear sky,2021-11-24 03:02:08
151,Tres Arroyos,AR,-38.3739,-60.2798,69.93,23,1,18.63,clear sky,2021-11-24 03:01:21
152,Tsiroanomandidy,MG,-18.7667,46.0333,70.09,82,100,0.6,overcast clouds,2021-11-24 03:02:08
153,Verkhnevilyuysk,RU,63.4453,120.3167,-16.74,91,8,3.29,clear sky,2021-11-24 03:02:08
154,San Luis,AR,-33.295,-66.3356,72.95,46,27,19.46,scattered clouds,2021-11-24 02:59:56
155,Leningradskiy,RU,69.3833,178.4167,-16.26,80,69,2.48,broken clouds,2021-11-24 03:02:09
156,Khorixas,NA,-20.3667,14.9667,60.22,40,0,0.45,clear sky,2021-11-24 03:02:09
157,Petatlan,MX,17.5167,-101.2667,74.86,93,46,3.67,scattered clouds,2021-11-24 03:02:09
158,Mogadishu,SO,2.0371,45.3438,79.2,77,52,8.37,broken clouds,2021-11-24 03:02:10
159,Taoudenni,ML,22.6783,-3.9836,76.57,36,98,6.02,overcast clouds,2021-11-24 03:02:10
