City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Lagunas,PE,72.95,heavy intensity rain,-5.2269,-75.6753,
627,Moron,AR,73.15,clear sky,-34.6534,-58.6198,
628,Anito,PH,81.0,very heavy rain,12.4497,125.2886,
633,Djibo,BF,76.3,clear sky,14.1022,-1.6306,
634,Lazaro Cardenas,MX,77.47,scattered clouds,17.9583,-102.2,
635,Nelson Bay,AU,83.75,overcast clouds,-32.7167,152.15,
636,Sokolo,ML,79.57,clear sky,14.7328,-6.1219,
639,Magaria,NE,74.19,few clouds,12.9983,8.9099,
642,Viedma,AR,71.02,clear sky,-40.8135,-62.9967,
647,Buala,SB,86.11,overcast clouds,-8.145,159.5921,
648,Urucara,BR,77.9,broken clouds,-2.5364,-57.76,
656,Muisne,EC,73.96,overcast clouds,0.6,-80.0333,
657,Santa Cruz,BO,79.86,overcast clouds,-17.8,-63.1667,
658,Sur,OM,76.57,clear sky,22.5667,59.5289,
661,Ngama,TD,74.68,clear sky,11.7833,17.1667,
664,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,
666,Itupiranga,BR,75.47,broken clouds,-5.1347,-49.3267,
670,Nhulunbuy,AU,93.81,scattered clouds,-12.2333,136.7667,
674,Marsh Harbour,BS,70.34,overcast clouds,26.5412,-77.0636,
676,Ponce,PR,75.47,scattered clouds,18.073,-66.6185,
677,Esmeralda,CU,74.44,scattered clouds,21.8525,-78.1169,
683,Cabinda,AO,77.67,overcast clouds,-5.55,12.2,
686,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,
691,Dingle,PH,82.85,overcast clouds,10.9995,122.6711,
692,Belize,BZ,71.24,few clouds,17.25,-88.75,
694,Chake Chake,TZ,76.98,overcast clouds,-5.2459,39.7666,
695,Vieques,PR,77.61,few clouds,18.425,-65.8329,
701,Katherine,AU,93.52,overcast clouds,-14.4667,132.2667,
703,Thinadhoo,MV,82.13,overcast clouds,0.5333,72.9333,
708,Mangaluru,IN,76.06,mist,12.8667,74.8833,
709,Bahia De Caraquez,EC,73.58,overcast clouds,-0.6,-80.4167,
